Time;Open;High;Low;Close;Volume;Marketcap
Jan 05, 2011;0.267;0.267;0.24;0.24;450;0
Jan 06, 2011;0.24;0.25;0.244;0.25;4152;0
Jan 07, 2011;0.25;0.25;0.241;0.25;51120;0
Jan 08, 2011;0.25;0.25;0.242;0.248;1971.774194;0
Jan 09, 2011;0.248;0.25;0.2475;0.2499;2028.811525;0
Jan 10, 2011;0.2499;0.27;0.2464;0.265;11728.30189;0
Jan 11, 2011;0.265;0.27;0.251;0.265;5501.886792;0
Jan 12, 2011;0.265;0.281;0.2612;0.281;33480.42705;0
Jan 13, 2011;0.281;0.301;0.271;0.3;20120;0
Jan 14, 2011;0.3;0.3;0.291;0.3;36173.33333;0
Jan 15, 2011;0.3;0.3;0.292;0.3;2026.666667;0
Jan 16, 2011;0.3;0.3;0.292;0.3;3706.666667;0
Jan 17, 2011;0.3;0.3;0.289;0.3;18240;0
Jan 18, 2011;0.3;0.2999;0.29;0.295;15935.59322;0
Jan 19, 2011;0.295;0.2999;0.289;0.2989;7316.828371;0
Jan 20, 2011;0.2989;0.299;0.29;0.299;26595.31773;0
Jan 21, 2011;0.299;0.299;0.29;0.298;11382.55034;0
Jan 22, 2011;0.298;0.322;0.2975;0.32;13162.5;0
Jan 23, 2011;0.32;0.3229;0.309;0.3229;1424.589656;0
Jan 24, 2011;0.3229;0.323;0.3229;0.323;13696.59443;0
Jan 25, 2011;0.323;0.329;0.3175;0.3266;2645.437844;0
Jan 26, 2011;0.3266;0.3266;0.3176;0.3266;19069.1978;0
Jan 27, 2011;0.3266;0.3557;0.318;0.3188;34767.87955;0
Jan 28, 2011;0.3188;0.405;0.3176;0.3176;6712.846348;0
Jan 29, 2011;0.3176;0.45;0.3176;0.4;1450;0
Jan 30, 2011;0.4;0.4;0.385;0.386;13445.59585;0
Jan 31, 2011;0.386;0.4;0.386;0.3868;82109.61737;0
Feb 01, 2011;0.3868;0.3868;0.315;0.3495;63210.30043;0
Feb 02, 2011;0.3495;0.3495;0.305;0.313;12591.05431;0
Feb 03, 2011;0.313;0.313;0.305;0.313;19076.67732;0
Feb 04, 2011;0.313;0.39;0.31;0.39;86605.12821;0
Feb 05, 2011;0.39;0.44;0.368;0.4199;33843.77233;0
Feb 06, 2011;0.4199;0.4443;0.39;0.4443;17704.25388;0
Feb 07, 2011;0.4443;0.4443;0.42;0.4424;4597.649186;0
Feb 08, 2011;0.4424;0.4424;0.381;0.4199;15046.43963;0
Feb 09, 2011;0.4199;0.425;0.4;0.41;133153.6585;0
Feb 10, 2011;0.41;0.42;0.3904;0.417;63693.04556;0
Feb 11, 2011;0.417;0.45;0.4085;0.4212;34734.09307;0
Feb 12, 2011;0.4212;0.446;0.4212;0.446;10161.43498;0
Feb 13, 2011;0.446;0.445;0.43;0.439;7380.410023;0
Feb 14, 2011;0.439;0.48;0.445;0.4799;16274.2238;0
Feb 15, 2011;0.4799;0.95;0.47;0.52;16576.92308;0
Feb 16, 2011;0.52;0.85;0.5201;0.7;10271.42857;0
Feb 17, 2011;0.7;0.76;0.69;0.716;5600.558659;0
Feb 18, 2011;0.716;0.75;0.6501;0.69;48195.65217;0
Feb 19, 2011;0.69;0.88;0.67;0.811;4217.01603;0
Feb 20, 2011;0.811;0.92;0.8115;0.92;9753.26087;0
Feb 21, 2011;0.92;0.92;0.83;0.8997;1511.614983;0
Feb 22, 2011;0.8997;0.9;0.83;0.89;12235.95506;0
